hora, compra,venda ,moeda, fonte, ID
13:41:23,23301.00000000,23429.99997000, Bitcoin,MBT,1
13:41:33,23000.24,23280.1, Bitcoin,NC,2
13:41:45,23301.00000000,23400.00000000, Bitcoin,MBT,3
13:41:56,23000.29,23280.1, Bitcoin,NC,4
13:42:7,23301.00000000,23400.00000000, Bitcoin,MBT,5
13:42:21,23180.29,23250.0, Bitcoin,NC,6
13:42:33,23301.00000000,23400.00000000, Bitcoin,MBT,7
13:42:43,23180.29,23250.0, Bitcoin,NC,8
13:42:55,23301.00000000,23400.00000000, Bitcoin,MBT,9
13:43:6,23000.3,23200.0, Bitcoin,NC,10
13:43:18,23301.00000000,23400.00000000, Bitcoin,MBT,11
13:43:32,23010.1,23199.0, Bitcoin,NC,12
13:43:44,23301.00000000,23400.00000000, Bitcoin,MBT,13
13:43:54,23010.1,23199.0, Bitcoin,NC,14
13:44:9,23340.00000000,23400.00000000, Bitcoin,MBT,15
13:44:20,23100.1,23100.1, Bitcoin,NC,16
13:44:35,23340.00000000,23400.00000000, Bitcoin,MBT,17
13:44:46,23010.13,23150.0, Bitcoin,NC,18
13:44:57,23350.01000000,23400.00000000, Bitcoin,MBT,19
13:45:8,23010.13,23150.0, Bitcoin,NC,20
13:45:20,23350.01000000,23400.00000000, Bitcoin,MBT,21
13:45:31,23100.13,23100.13, Bitcoin,NC,22
13:45:42,23350.01000000,23339.01000000, Bitcoin,MBT,23
13:45:52,23010.13,23149.0, Bitcoin,NC,24
13:46:4,23301.00000000,23339.01000000, Bitcoin,MBT,25
13:46:15,23010.13,23149.0, Bitcoin,NC,26
13:46:26,23301.00000000,23339.01000000, Bitcoin,MBT,27
13:46:36,23010.13,23148.99, Bitcoin,NC,28
13:46:48,23301.00000000,23430.00000000, Bitcoin,MBT,29
13:46:58,23010.1,23148.99, Bitcoin,NC,30
13:47:10,23301.00000000,23350.00000000, Bitcoin,MBT,31
13:47:20,23010.5,23148.99, Bitcoin,NC,32
13:47:32,23301.00000000,23430.00000000, Bitcoin,MBT,33
